"Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"RandomForest",-0.0700084369243378,0.299579321503435,0.33477808116182,0.153954775094549,0.00700546729118612
"SVM",-0.0679547001170188,0.192270006599248,0.534805304789195,-0.0789310110890891,0.161577554181742
"NeuralNetwork",-0.250390187551609,0.240934064978804,0.356292957191367,-0.213567030433811,-0.0803450890360963
"DecisionTree",-0.100730398683935,0.315280788625726,0.577426247429996,0.0258343358346372,0.110360693110163
"NaiveBayes",0.100807114751908,-0.03032686549281,0.0284930780247634,-0.104208234714452,0.204332332865796
"LogisticRegression",-0.193564905261404,-0.0838727773470964,0.449226181707052,0.176787957316133,0.290782772517899
"NLP",-0.233859418459977,0.0360965276854023,-0.199883780716255,0.0331943998192798,0.0723891447490128
"TraditionalKnowledge",-0.0916244173208749,0.635302354776065,-0.192574190824996,-0.118218504251667,-0.141819379446115
"Ethnobotany",0.718924164106844,-0.12153574442392,0.237854102521043,-0.199710610850237,-0.0459138436291491
"CulturalHeritage",0.163075541873794,0.284684455649211,-0.18628209989162,0.12933855401434,0.350323325070744
"IndigenousPeoples",-0.189311726313581,-0.133964430055414,-0.00619601822096929,0.689738994107691,-0.046291245371046
"AncestralKnowledge",0.13891183407286,0.200049771879878,-0.0466982454182923,0.0996378227920328,0.452700858562403
"Ethnography",0.0627336933259843,-0.132641071901014,-0.147883825649867,-0.033706425188682,0.477454163404692
"ParticipativeResearch",0.0194226957101422,0.297701814520735,-0.227768373346475,0.241644187664608,0.0625587031060723
"OralHistory",-0.000593079781626748,0.146611981462971,-0.233983200652902,0.0955009514823839,0.329977268868618
"SemiStructuredInterview",0.628170056058872,-0.150007777468681,0.229138663677193,0.16341603460535,-0.0201949459254135
"FocusGroup",0.31313785390697,0.274545437121821,0.0620824053783956,0.417428038925323,-0.175369311250259
"Agroecology",-0.0604480394579087,0.109496391438274,-0.208470459355225,-0.0142615629265703,0.0347370440679268
"Biodiversity",0.39375011212028,0.268830865853784,-0.0713648783622625,0.0700278063586143,0.11480882927369
"Conservation",0.382293227263862,0.4071991202547,-0.147578272994721,0.184519631116259,-0.0100790520336468
"TraditionalFarming",0.0500168642449443,0.126272175462305,-0.139543109264405,0.062116117041486,-0.0622559448567686
"Permaculture",0.103486804235718,0.00414122328257393,-0.0896560180603475,0.0325974395588438,0.0122213544255644
"KnowledgeMapping",0.182953904960525,0.148498334660487,-0.0111303457281635,0.118725131564457,0.116631452617682
"Classification",0.648682588625965,-0.244957193527983,0.149560092322187,0.126455598669482,0.0790774719681482
"PatternRecognition",-0.217426125194426,0.312691870417586,0.176232980965891,-0.159423738898699,0.0283724615770329
"SpatialAnalysis",-0.314657354114568,0.0330440083027257,0.0942637679845688,0.190785299305896,0.321956902772555
"TextAnalysis",-0.11606219951964,-0.146524935891362,-0.0471938655682466,0.13789659713856,-0.0591040822501703
"Europe",0.0972090357367029,-0.103611060172959,-0.105489489227007,-0.285847961822704,0.33798346489485
"Asia",0.258773266086014,0.100878650899778,0.1067587233318,-0.0346805664555217,-0.100755755460869
"Americas",0.198007513433299,-0.138970522614659,0.0610959434253493,-0.0435340137955576,0.21110742270436
"Africa",0.167096670840078,0.141922910813767,0.0319630672164093,0.189368679793031,-0.375687678910368
"Oceania",-0.313344753712275,-0.311208202385217,0.119323169401402,0.493275955633079,0.0391876591225261
